test_id,test_file,solution_file,passed_tests,total_tests,validity_rate
0,HumanEval_0.py,000_has_close_elements.py,10,10,1.0
1,HumanEval_1.py,001_separate_paren_groups.py,8,10,0.8
2,HumanEval_2.py,002_truncate_number.py,10,10,1.0
3,HumanEval_3.py,003_below_zero.py,10,10,1.0
4,HumanEval_4.py,004_mean_absolute_deviation.py,9,10,0.9
5,HumanEval_5.py,005_intersperse.py,10,10,1.0
6,HumanEval_6.py,006_parse_nested_parens.py,10,10,1.0
7,HumanEval_7.py,007_filter_by_substring.py,10,10,1.0
8,HumanEval_8.py,008_sum_product.py,10,10,1.0
9,HumanEval_9.py,009_rolling_max.py,10,10,1.0
10,HumanEval_10.py,010_is_palindrome.py,0,10,0.0
11,HumanEval_11.py,011_string_xor.py,10,10,1.0
12,HumanEval_12.py,012_longest.py,10,10,1.0
13,HumanEval_13.py,013_greatest_common_divisor.py,8,10,0.8
14,HumanEval_14.py,014_all_prefixes.py,9,10,0.9
15,HumanEval_15.py,015_string_sequence.py,10,10,1.0
16,HumanEval_16.py,016_count_distinct_characters.py,10,10,1.0
17,HumanEval_17.py,017_parse_music.py,10,10,1.0
18,HumanEval_18.py,018_how_many_times.py,9,10,0.9
19,HumanEval_19.py,019_sort_numbers.py,10,10,1.0
20,HumanEval_20.py,020_find_closest_elements.py,9,10,0.9
21,HumanEval_21.py,021_rescale_to_unit.py,9,10,0.9
22,HumanEval_22.py,022_filter_integers.py,10,10,1.0
23,HumanEval_23.py,023_strlen.py,6,10,0.6
24,HumanEval_24.py,024_largest_divisor.py,10,10,1.0
25,HumanEval_25.py,025_factorize.py,10,10,1.0
26,HumanEval_26.py,026_remove_duplicates.py,10,10,1.0
27,HumanEval_27.py,027_flip_case.py,10,10,1.0
28,HumanEval_28.py,028_concatenate.py,10,10,1.0
29,HumanEval_29.py,029_filter_by_prefix.py,10,10,1.0
30,HumanEval_30.py,030_get_positive.py,10,10,1.0
31,HumanEval_31.py,031_is_prime.py,10,10,1.0
32,HumanEval_32.py,032_find_zero.py,0,10,0.0
33,HumanEval_33.py,033_sort_third.py,10,10,1.0
34,HumanEval_34.py,034_unique.py,10,10,1.0
35,HumanEval_35.py,035_max_element.py,9,10,0.9
36,HumanEval_36.py,036_fizz_buzz.py,6,10,0.6
37,HumanEval_37.py,037_sort_even.py,10,10,1.0
38,HumanEval_38.py,038_encode_cyclic.py,0,10,0.0
39,HumanEval_39.py,039_prime_fib.py,9,10,0.9
40,HumanEval_40.py,040_triples_sum_to_zero.py,10,10,1.0
41,HumanEval_41.py,041_car_race_collision.py,0,10,0.0
42,HumanEval_42.py,042_incr_list.py,10,10,1.0
43,HumanEval_43.py,043_pairs_sum_to_zero.py,10,10,1.0
44,HumanEval_44.py,044_change_base.py,9,10,0.9
45,HumanEval_45.py,045_triangle_area.py,8,10,0.8
46,HumanEval_46.py,046_fib4.py,10,10,1.0
47,HumanEval_47.py,047_median.py,9,10,0.9
48,HumanEval_48.py,048_is_palindrome.py,10,10,1.0
49,HumanEval_49.py,049_modp.py,10,10,1.0
50,HumanEval_50.py,050_decode_shift.py,0,10,0.0
51,HumanEval_51.py,051_remove_vowels.py,10,10,1.0
52,HumanEval_52.py,052_below_threshold.py,10,10,1.0
53,HumanEval_53.py,053_add.py,10,10,1.0
54,HumanEval_54.py,054_same_chars.py,10,10,1.0
55,HumanEval_55.py,055_fib.py,10,10,1.0
56,HumanEval_56.py,056_correct_bracketing.py,11,10,1.1
57,HumanEval_57.py,057_monotonic.py,10,10,1.0
58,HumanEval_58.py,058_common.py,10,10,1.0
59,HumanEval_59.py,059_largest_prime_factor.py,10,10,1.0
60,HumanEval_60.py,060_sum_to_n.py,10,10,1.0
61,HumanEval_61.py,061_correct_bracketing.py,10,10,1.0
62,HumanEval_62.py,062_derivative.py,10,10,1.0
63,HumanEval_63.py,063_fibfib.py,10,10,1.0
64,HumanEval_64.py,064_vowels_count.py,0,10,0.0
65,HumanEval_65.py,065_circular_shift.py,10,10,1.0
66,HumanEval_66.py,066_digitSum.py,10,10,1.0
67,HumanEval_67.py,067_fruit_distribution.py,10,10,1.0
68,HumanEval_68.py,068_pluck.py,0,10,0.0
69,HumanEval_69.py,069_search.py,10,10,1.0
70,HumanEval_70.py,070_strange_sort_list.py,10,10,1.0
71,HumanEval_71.py,071_triangle_area.py,9,10,0.9
72,HumanEval_72.py,072_will_it_fly.py,10,10,1.0
73,HumanEval_73.py,073_smallest_change.py,10,10,1.0
74,HumanEval_74.py,074_total_match.py,10,10,1.0
75,HumanEval_75.py,075_is_multiply_prime.py,10,10,1.0
76,HumanEval_76.py,076_is_simple_power.py,10,10,1.0
77,HumanEval_77.py,077_iscube.py,10,10,1.0
78,HumanEval_78.py,078_hex_key.py,0,10,0.0
79,HumanEval_79.py,079_decimal_to_binary.py,10,10,1.0
80,HumanEval_80.py,080_is_happy.py,10,10,1.0
81,HumanEval_81.py,081_numerical_letter_grade.py,0,10,0.0
82,HumanEval_82.py,082_prime_length.py,10,10,1.0
83,HumanEval_83.py,083_starts_one_ends.py,0,10,0.0
84,HumanEval_84.py,084_solve.py,10,10,1.0
85,HumanEval_85.py,085_add.py,10,10,1.0
86,HumanEval_86.py,086_anti_shuffle.py,8,10,0.8
87,HumanEval_87.py,087_get_row.py,10,10,1.0
88,HumanEval_88.py,088_sort_array.py,10,10,1.0
89,HumanEval_89.py,089_encrypt.py,9,10,0.9
90,HumanEval_90.py,090_next_smallest.py,10,10,1.0
91,HumanEval_91.py,091_is_bored.py,10,10,1.0
92,HumanEval_92.py,092_any_int.py,10,10,1.0
93,HumanEval_93.py,093_encode.py,8,10,0.8
94,HumanEval_94.py,094_skjkasdkd.py,0,10,0.0
95,HumanEval_95.py,095_check_dict_case.py,10,10,1.0
96,HumanEval_96.py,096_count_up_to.py,10,10,1.0
97,HumanEval_97.py,097_multiply.py,10,10,1.0
98,HumanEval_98.py,098_count_upper.py,9,10,0.9
99,HumanEval_99.py,099_closest_integer.py,10,10,1.0
100,HumanEval_100.py,100_make_a_pile.py,10,10,1.0
101,HumanEval_101.py,101_words_string.py,10,10,1.0
102,HumanEval_102.py,102_choose_num.py,10,10,1.0
103,HumanEval_103.py,103_rounded_avg.py,10,10,1.0
104,HumanEval_104.py,104_unique_digits.py,10,10,1.0
105,HumanEval_105.py,105_by_length.py,0,10,0.0
106,HumanEval_106.py,106_f.py,10,10,1.0
107,HumanEval_107.py,107_even_odd_palindrome.py,0,10,0.0
108,HumanEval_108.py,108_count_nums.py,10,10,1.0
109,HumanEval_109.py,109_move_one_ball.py,10,10,1.0
110,HumanEval_110.py,110_exchange.py,10,10,1.0
111,HumanEval_111.py,111_histogram.py,10,10,1.0
112,HumanEval_112.py,112_reverse_delete.py,0,10,0.0
113,HumanEval_113.py,113_odd_count.py,10,10,1.0
114,HumanEval_114.py,114_minSubArraySum.py,10,10,1.0
115,HumanEval_115.py,115_max_fill.py,0,10,0.0
116,HumanEval_116.py,116_sort_array.py,10,10,1.0
117,HumanEval_117.py,117_select_words.py,10,10,1.0
118,HumanEval_118.py,118_get_closest_vowel.py,10,10,1.0
119,HumanEval_119.py,119_match_parens.py,10,10,1.0
120,HumanEval_120.py,120_maximum.py,0,10,0.0
121,HumanEval_121.py,121_solution.py,10,10,1.0
122,HumanEval_122.py,122_add_elements.py,0,10,0.0
123,HumanEval_123.py,123_get_odd_collatz.py,10,10,1.0
124,HumanEval_124.py,124_valid_date.py,8,10,0.8
125,HumanEval_125.py,125_split_words.py,8,10,0.8
126,HumanEval_126.py,126_is_sorted.py,10,10,1.0
127,HumanEval_127.py,127_intersection.py,10,10,1.0
128,HumanEval_128.py,128_prod_signs.py,10,10,1.0
129,HumanEval_129.py,129_minPath.py,0,10,0.0
130,HumanEval_130.py,130_tri.py,0,10,0.0
131,HumanEval_131.py,131_digits.py,10,10,1.0
132,HumanEval_132.py,132_is_nested.py,10,10,1.0
133,HumanEval_133.py,133_sum_squares.py,0,10,0.0
134,HumanEval_134.py,134_check_if_last_char_is_a_letter.py,9,10,0.9
135,HumanEval_135.py,135_can_arrange.py,10,10,1.0
136,HumanEval_136.py,136_largest_smallest_integers.py,10,10,1.0
137,HumanEval_137.py,137_compare_one.py,9,10,0.9
138,HumanEval_138.py,138_is_equal_to_sum_even.py,10,10,1.0
139,HumanEval_139.py,139_special_factorial.py,0,10,0.0
140,HumanEval_140.py,140_fix_spaces.py,9,10,0.9
141,HumanEval_141.py,141_file_name_check.py,10,10,1.0
142,HumanEval_142.py,142_sum_squares.py,0,10,0.0
143,HumanEval_143.py,143_words_in_sentence.py,0,10,0.0
144,HumanEval_144.py,144_simplify.py,10,10,1.0
145,HumanEval_145.py,145_order_by_points.py,5,10,0.5
146,HumanEval_146.py,146_specialFilter.py,8,10,0.8
147,HumanEval_147.py,147_get_max_triples.py,8,10,0.8
148,HumanEval_148.py,148_bf.py,10,10,1.0
149,HumanEval_149.py,149_sorted_list_sum.py,0,10,0.0
150,HumanEval_150.py,150_x_or_y.py,8,10,0.8
151,HumanEval_151.py,151_double_the_difference.py,9,10,0.9
152,HumanEval_152.py,152_compare.py,10,10,1.0
153,HumanEval_153.py,153_Strongest_Extension.py,10,10,1.0
154,HumanEval_154.py,154_cycpattern_check.py,10,10,1.0
155,HumanEval_155.py,155_even_odd_count.py,10,10,1.0
156,HumanEval_156.py,156_int_to_mini_roman.py,10,10,1.0
157,HumanEval_157.py,157_right_angle_triangle.py,9,10,0.9
158,HumanEval_158.py,158_find_max.py,9,10,0.9
159,HumanEval_159.py,159_eat.py,10,10,1.0
160,HumanEval_160.py,160_do_algebra.py,0,10,0.0
161,HumanEval_161.py,161_solve.py,10,10,1.0
162,HumanEval_162.py,162_string_to_md5.py,0,10,0.0
163,HumanEval_163.py,163_generate_integers.py,7,10,0.7
